Close,Date
274.5,2015-07-20 00:07:00
280.0,2015-07-21 00:07:00
275.39,2015-07-22 00:07:00
277.98,2015-07-23 00:07:00
276.39,2015-07-24 00:07:00
288.58,2015-07-25 00:07:00
289.35,2015-07-26 00:07:00
293.0,2015-07-27 00:07:00
295.38,2015-07-28 00:07:00
295.26,2015-07-29 00:07:00
289.56,2015-07-30 00:07:00
287.5,2015-07-31 00:07:00
284.61,2015-08-01 00:07:00
278.74,2015-08-02 00:07:00
282.3,2015-08-03 00:07:00
282.23,2015-08-04 00:07:00
285.08,2015-08-05 00:07:00
281.68,2015-08-06 00:07:00
279.08,2015-08-07 00:07:00
280.31,2015-08-08 00:07:00
261.86,2015-08-09 00:07:00
266.54,2015-08-10 00:07:00
265.09,2015-08-11 00:07:00
271.69,2015-08-12 00:07:00
266.73,2015-08-13 00:07:00
264.7,2015-08-14 00:07:00
266.18,2015-08-15 00:07:00
262.05,2015-08-16 00:07:00
259.72,2015-08-17 00:07:00
258.47,2015-08-18 00:07:00
227.97,2015-08-19 00:07:00
226.95,2015-08-20 00:07:00
235.54,2015-08-21 00:07:00
232.62,2015-08-22 00:07:00
230.46,2015-08-23 00:07:00
228.2,2015-08-24 00:07:00
210.16,2015-08-25 00:07:00
223.07,2015-08-26 00:07:00
226.92,2015-08-27 00:07:00
224.61,2015-08-28 00:07:00
232.01,2015-08-29 00:07:00
231.01,2015-08-30 00:07:00
230.12,2015-08-31 00:07:00
231.61,2015-09-01 00:07:00
228.01,2015-09-02 00:07:00
229.49,2015-09-03 00:07:00
227.34,2015-09-04 00:07:00
231.03,2015-09-05 00:07:00
235.84,2015-09-06 00:07:00
241.39,2015-09-07 00:07:00
240.65,2015-09-08 00:07:00
244.02,2015-09-09 00:07:00
239.4,2015-09-10 00:07:00
239.65,2015-09-11 00:07:00
240.6,2015-09-12 00:07:00
235.94,2015-09-13 00:07:00
231.0,2015-09-14 00:07:00
230.83,2015-09-15 00:07:00
230.91,2015-09-16 00:07:00
228.99,2015-09-17 00:07:00
233.61,2015-09-18 00:07:00
233.87,2015-09-19 00:07:00
232.07,2015-09-20 00:07:00
232.14,2015-09-21 00:07:00
227.25,2015-09-22 00:07:00
231.89,2015-09-23 00:07:00
230.61,2015-09-24 00:07:00
234.64,2015-09-25 00:07:00
235.64,2015-09-26 00:07:00
234.27,2015-09-27 00:07:00
233.45,2015-09-28 00:07:00
240.41,2015-09-29 00:07:00
236.96,2015-09-30 00:07:00
236.92,2015-10-01 00:07:00
238.24,2015-10-02 00:07:00
237.7,2015-10-03 00:07:00
239.73,2015-10-04 00:07:00
239.5,2015-10-05 00:07:00
242.01,2015-10-06 00:07:00
247.36,2015-10-07 00:07:00
244.03,2015-10-08 00:07:00
243.0,2015-10-09 00:07:00
244.76,2015-10-10 00:07:00
245.92,2015-10-11 00:07:00
247.84,2015-10-12 00:07:00
246.15,2015-10-13 00:07:00
251.09,2015-10-14 00:07:00
253.5,2015-10-15 00:07:00
255.18,2015-10-16 00:07:00
263.45,2015-10-17 00:07:00
274.2,2015-10-18 00:07:00
265.7,2015-10-19 00:07:00
265.65,2015-10-20 00:07:00
270.35,2015-10-21 00:07:00
268.04,2015-10-22 00:07:00
275.49,2015-10-23 00:07:00
279.41,2015-10-24 00:07:00
284.37,2015-10-25 00:07:00
285.98,2015-10-26 00:07:00
287.21,2015-10-27 00:07:00
295.72,2015-10-28 00:07:00
304.87,2015-10-29 00:07:00
315.0,2015-10-30 00:07:00
331.61,2015-10-31 00:07:00
317.58,2015-11-01 00:07:00
330.48,2015-11-02 00:07:00
366.0,2015-11-03 00:07:00
404.27,2015-11-04 00:07:00
402.0,2015-11-05 00:07:00
386.11,2015-11-06 00:07:00
372.82,2015-11-07 00:07:00
386.52,2015-11-08 00:07:00
374.37,2015-11-09 00:07:00
382.2,2015-11-10 00:07:00
340.38,2015-11-11 00:07:00
318.93,2015-11-12 00:07:00
338.36,2015-11-13 00:07:00
338.02,2015-11-14 00:07:00
334.5,2015-11-15 00:07:00
320.77,2015-11-16 00:07:00
332.08,2015-11-17 00:07:00
336.3,2015-11-18 00:07:00
335.58,2015-11-19 00:07:00
326.73,2015-11-20 00:07:00
322.15,2015-11-21 00:07:00
327.41,2015-11-22 00:07:00
324.52,2015-11-23 00:07:00
323.64,2015-11-24 00:07:00
320.41,2015-11-25 00:07:00
329.36,2015-11-26 00:07:00
353.38,2015-11-27 00:07:00
353.4,2015-11-28 00:07:00
357.73,2015-11-29 00:07:00
373.0,2015-11-30 00:07:00
378.0,2015-12-01 00:07:00
362.04,2015-12-02 00:07:00
359.43,2015-12-03 00:07:00
360.6,2015-12-04 00:07:00
363.88,2015-12-05 00:07:00
391.32,2015-12-06 00:07:00
391.49,2015-12-07 00:07:00
397.77,2015-12-08 00:07:00
418.13,2015-12-09 00:07:00
420.2,2015-12-10 00:07:00
415.82,2015-12-11 00:07:00
454.62,2015-12-12 00:07:00
432.39,2015-12-13 00:07:00
430.67,2015-12-14 00:07:00
443.99,2015-12-15 00:07:00
466.32,2015-12-16 00:07:00
454.74,2015-12-17 00:07:00
455.78,2015-12-18 00:07:00
462.46,2015-12-19 00:07:00
461.93,2015-12-20 00:07:00
442.84,2015-12-21 00:07:00
436.73,2015-12-22 00:07:00
435.5,2015-12-23 00:07:00
443.09,2015-12-24 00:07:00
456.46,2015-12-25 00:07:00
455.1,2015-12-26 00:07:00
413.97,2015-12-27 00:07:00
424.98,2015-12-28 00:07:00
420.99,2015-12-29 00:07:00
431.77,2015-12-30 00:07:00
422.47,2015-12-31 00:07:00
431.11,2016-01-01 00:07:00
435.78,2016-01-02 00:07:00
432.77,2016-01-03 00:07:00
429.04,2016-01-04 00:07:00
432.5,2016-01-05 00:07:00
431.53,2016-01-06 00:07:00
429.64,2016-01-07 00:07:00
458.48,2016-01-08 00:07:00
453.92,2016-01-09 00:07:00
450.25,2016-01-10 00:07:00
449.99,2016-01-11 00:07:00
448.12,2016-01-12 00:07:00
434.18,2016-01-13 00:07:00
430.8,2016-01-14 00:07:00
429.29,2016-01-15 00:07:00
365.9,2016-01-16 00:07:00
386.2,2016-01-17 00:07:00
383.49,2016-01-18 00:07:00
387.19,2016-01-19 00:07:00
378.14,2016-01-20 00:07:00
418.11,2016-01-21 00:07:00
410.2,2016-01-22 00:07:00
381.08,2016-01-23 00:07:00
386.35,2016-01-24 00:07:00
400.48,2016-01-25 00:07:00
392.86,2016-01-26 00:07:00
390.7,2016-01-27 00:07:00
394.75,2016-01-28 00:07:00
376.77,2016-01-29 00:07:00
377.3,2016-01-30 00:07:00
376.99,2016-01-31 00:07:00
365.85,2016-02-01 00:07:00
371.11,2016-02-02 00:07:00
372.73,2016-02-03 00:07:00
